CONTROL;SHIPMONTH;WEIGHT;WGTADJ;REGION;SECTIONS;STATUS;PRICE;SQFT;BEDROOMS;TITLED;LOCATION;FOUNDATION;SECURED;JSTATUS;JPRICE;JSQFT;JBEDROOM;JTITLE;JLOCATION;JFOUNDATION;JSECURED
19060054;201906;11,6333;1,1791;1;1;2;50000;900;1;2;1;2;1;R;I;I;I;I;R;I;I
19060055;201906;11,6333;1,1791;1;1;2;51000;920;1;2;1;3;1;I;I;I;I;I;I;I;I
19060056;201906;53,6929;1,1791;3;1;2;74000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19060057;201906;53,6929;1,1791;3;1;2;53000;610;1;2;3;3;1;R;R;R;R;R;R;R;R
19060058;201906;53,6929;1,1791;3;1;2;36700;840;1;2;1;3;1;R;R;R;R;R;R;R;R
19060059;201906;53,6929;1,1791;3;1;2;61000;1200;3;1;3;3;1;I;I;I;I;I;I;I;I
19060060;201906;53,6929;1,1791;3;1;2;74000;1200;3;2;3;3;1;R;R;R;R;R;R;R;R
19060061;201906;53,6929;1,1791;3;1;2;47300;920;3;2;3;2;1;R;R;R;R;R;R;R;R
19060062;201906;53,6929;1,1791;3;1;2;55000;1200;3;2;3;2;1;R;R;R;R;R;R;R;R
19060063;201906;53,6929;1,1791;3;1;2;56000;1100;3;2;3;3;1;R;I;I;I;I;I;I;I
19060064;201906;53,6929;1,1791;3;1;2;42000;1100;3;2;3;3;1;R;R;R;R;R;R;R;R
19060065;201906;53,6929;1,1791;3;1;2;55000;1200;3;1;1;3;1;R;R;R;R;I;R;I;I
19060066;201906;53,6929;1,1791;3;1;2;37800;920;3;2;3;3;1;R;R;R;R;R;R;R;R
19060067;201906;14,4182;1,1791;2;1;2;50000;900;1;2;3;3;1;I;I;I;I;I;I;I;I
19060068;201906;14,4182;1,1791;2;1;2;58000;1300;3;2;1;3;1;R;R;R;R;R;R;R;R
19060069;201906;11,6333;1,1791;1;1;2;57000;920;1;1;3;1;9;R;R;R;R;R;R;R;R
19060070;201906;19,9158;1,1791;4;1;2;36000;440;1;1;1;1;9;I;I;I;I;I;I;I;I
19060071;201906;19,9158;1,1791;4;1;2;41700;650;3;1;1;1;9;I;I;I;I;I;I;I;I
19060072;201906;14,4182;1,1791;2;1;2;42500;900;1;2;1;1;9;R;R;R;R;R;R;R;R
19060073;201906;14,4182;1,1791;2;1;2;42500;780;1;2;1;1;9;R;R;R;R;R;R;R;R
19060074;201906;14,4182;1,1791;2;1;2;66000;1100;3;2;1;1;9;R;R;R;R;R;R;R;R
19060075;201906;14,4182;1,1791;2;1;2;60000;1200;3;1;3;1;9;R;R;R;R;R;R;R;R
19060076;201906;14,4182;1,1791;2;1;2;32100;740;1;2;1;1;9;R;R;R;R;R;R;R;R
19060077;201906;14,4182;1,1791;2;1;2;32100;670;1;2;1;1;9;R;R;R;R;R;R;R;R
19060078;201906;14,4182;1,1791;2;1;2;66000;960;1;2;3;1;9;R;R;R;R;R;R;R;R
19060079;201906;19,9158;1,1791;4;1;2;41700;650;3;1;3;1;9;I;I;I;I;I;I;I;I
19060080;201906;11,6333;1,1791;1;1;2;47200;670;1;1;3;1;9;R;R;R;R;R;R;R;R
19060081;201906;11,6333;1,1791;1;1;2;49100;870;1;2;3;1;9;I;I;I;I;I;I;I;I
19060082;201906;11,6333;1,1791;1;1;2;49100;870;1;1;3;1;9;I;I;I;I;I;I;I;I
19060083;201906;14,4182;1,1791;2;1;2;9;840;1;1;1;1;9;R;9;R;R;R;R;R;R
19060084;201906;53,6929;1,1791;3;1;1;49900;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19060085;201906;19,9158;1,1791;4;1;1;41700;650;3;9;9;9;9;I;I;I;I;9;9;9;9
19060086;201906;14,4182;1,1791;2;1;1;52000;960;1;9;9;9;9;I;I;I;I;9;9;9;9
19060087;201906;53,6929;1,1791;3;1;1;61000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19060088;201906;53,6929;1,1791;3;1;1;39900;840;1;9;9;9;9;R;R;R;R;9;9;9;9
19060089;201906;11,6333;1,1791;1;1;1;48100;840;1;9;9;9;9;R;I;I;I;9;9;9;9
19060090;201906;11,6333;1,1791;1;1;1;42500;670;1;9;9;9;9;I;I;I;I;9;9;9;9
19060091;201906;14,4182;1,1791;2;1;1;46200;780;1;9;9;9;9;I;I;I;I;9;9;9;9
19060092;201906;14,4182;1,1791;2;1;1;55000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19060093;201906;14,4182;1,1791;2;1;1;75000;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19060094;201906;53,6929;1,1791;3;1;1;68000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19060095;201906;53,6929;1,1791;3;1;1;45000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19060096;201906;19,9158;1,1791;4;1;1;39100;570;1;9;9;9;9;I;I;I;I;9;9;9;9
19060097;201906;14,4182;1,1791;2;1;1;60000;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19060098;201906;14,4182;1,1791;2;1;1;32100;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19060099;201906;53,6929;1,1791;3;1;1;55000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19060100;201906;14,4182;1,1791;2;1;1;39900;900;1;9;9;9;9;R;R;R;R;9;9;9;9
19060101;201906;14,4182;1,1791;2;1;1;58000;1100;3;9;9;9;9;I;I;I;I;9;9;9;9
19060102;201906;14,4182;1,1791;2;1;1;45900;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19060103;201906;14,4182;1,1791;2;1;1;61000;1200;3;9;9;9;9;R;I;I;I;9;9;9;9
19060104;201906;11,6333;1,1791;1;1;1;58000;900;1;9;9;9;9;R;R;R;R;9;9;9;9
19060105;201906;11,6333;1,1791;1;1;1;45000;920;1;9;9;9;9;R;R;R;R;9;9;9;9
19060106;201906;53,6929;1,1791;3;1;1;59000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19060107;201906;19,9158;1,1791;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19060108;201906;14,4182;1,1791;5;1;3;9;9;9;9;9;9;9;I;9;9;9;9;9;9;9
19060109;201906;19,9158;1,1791;5;1;3;9;9;9;9;9;9;9;I;9;9;9;9;9;9;9
19060110;201906;11,6333;1,1791;5;1;3;9;9;9;9;9;9;9;I;9;9;9;9;9;9;9
19060111;201906;53,6929;1,1791;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19060112;201906;14,4182;1,1791;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19060113;201906;26,8464;0,9968;3;2;2;52000;1700;3;2;3;3;1;R;R;R;R;R;R;R;R
19060114;201906;9,9579;0,9968;4;2;2;107000;1700;3;2;3;3;1;R;R;R;R;R;R;R;R
19060115;201906;9,9579;0,9968;4;2;2;75000;930;1;2;1;3;1;I;I;I;I;I;I;I;I
19060116;201906;9,9579;0,9968;4;2;2;185000;2100;3;1;3;3;1;R;R;R;R;R;R;R;R
19060117;201906;9,9579;0,9968;4;2;2;96000;1300;3;2;3;2;1;I;I;I;I;I;I;I;I
19060118;201906;9,9579;0,9968;4;2;2;111000;1800;3;1;3;3;1;I;I;I;I;I;I;I;I
19060119;201906;6,6386;0,9968;5;3;2;140000;1900;3;2;3;3;1;R;R;R;R;R;R;R;R
19060120;201906;9,9579;0,9968;4;2;2;99000;1400;3;2;3;2;1;I;I;I;I;I;I;I;I
19060121;201906;9,9579;0,9968;4;2;2;127000;2500;3;2;3;2;1;I;I;I;I;I;I;I;I
19060122;201906;9,9579;0,9968;4;2;2;89000;1200;3;1;3;3;1;R;I;I;I;I;I;I;I
19060123;201906;26,8464;0,9968;4;2;2;132000;2500;3;2;3;2;1;I;I;I;I;I;I;I;I
19060124;201906;9,9579;0,9968;4;2;2;114000;1200;1;2;3;3;1;R;R;R;R;R;R;R;R
19060125;201906;9,9579;0,9968;4;2;2;124000;1600;1;2;3;3;1;R;R;R;R;R;R;R;R
19060126;201906;9,9579;0,9968;4;2;2;104000;1600;3;3;3;2;1;I;I;I;I;I;I;I;I
19060127;201906;26,8464;0,9968;3;2;2;52000;1500;3;3;3;3;1;R;R;R;R;R;R;R;R
19060128;201906;26,8464;0,9968;3;2;2;84000;1700;3;1;3;3;1;R;R;R;R;R;R;R;R
19060129;201906;26,8464;0,9968;3;2;2;86000;2000;3;2;3;3;1;R;R;R;R;R;R;R;R
19060130;201906;9,9579;0,9968;4;2;2;121000;2100;3;1;3;2;1;I;I;I;I;I;I;I;I
19060131;201906;9,9579;0,9968;4;2;2;108000;1700;3;1;3;2;1;I;I;I;I;I;I;I;I
19060132;201906;9,9579;0,9968;4;2;2;140000;1700;3;1;3;2;1;R;R;R;R;R;R;R;R
19060133;201906;9,9579;0,9968;4;2;2;104000;930;3;2;3;3;1;R;R;R;R;R;R;R;R
19060134;201906;9,9579;0,9968;4;2;2;104000;1600;3;2;3;3;1;I;I;I;I;I;I;I;I
19060135;201906;9,9579;0,9968;4;2;2;167000;1500;3;1;1;2;1;R;R;R;R;R;R;R;R
19060136;201906;9,9579;0,9968;4;2;2;109000;1700;1;2;3;2;1;I;I;I;I;I;I;I;I
19060137;201906;9,9579;0,9968;4;2;2;117000;2000;3;2;3;2;1;I;I;I;I;I;I;I;I
19060138;201906;9,9579;0,9968;4;2;2;75000;930;1;2;1;3;1;R;I;R;R;R;R;R;R
19060139;201906;9,9579;0,9968;4;2;2;130000;1600;3;2;1;3;1;R;R;R;R;R;R;R;R
19060140;201906;9,9579;0,9968;4;2;2;83000;930;3;1;3;2;1;I;I;I;I;I;I;I;I
19060141;201906;9,9579;0,9968;4;2;2;226000;2500;3;1;3;2;1;R;R;R;R;R;R;R;R
19060142;201906;9,9579;0,9968;4;2;2;226000;2100;3;2;3;3;1;R;R;R;R;R;R;R;R
19060143;201906;9,9579;0,9968;4;2;2;226000;1500;1;2;3;3;1;R;R;R;R;R;R;R;R
19060144;201906;9,9579;0,9968;4;2;2;115000;1300;3;2;1;3;1;R;R;R;R;R;R;R;R
19060145;201906;5,8167;0,9968;1;2;2;185000;1400;1;1;1;3;1;R;R;R;R;R;R;R;R
19060146;201906;5,8167;0,9968;1;2;2;89000;1700;3;1;3;3;1;R;R;R;R;R;R;R;R
19060147;201906;5,8167;0,9968;1;2;2;86000;1900;3;1;3;3;1;R;R;R;R;R;R;R;R
19060148;201906;5,8167;0,9968;1;2;2;256000;1600;1;2;1;3;1;R;R;R;R;R;R;R;R
19060149;201906;26,8464;0,9968;3;2;2;88000;1600;3;1;3;2;1;R;R;R;R;R;R;R;R
19060150;201906;26,8464;0,9968;3;2;2;105000;1900;3;1;3;3;1;R;R;R;R;R;R;R;R
19060151;201906;26,8464;0,9968;3;2;2;52000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19060152;201906;26,8464;0,9968;3;2;2;103000;1600;3;1;3;3;1;I;I;I;I;I;I;I;I
19060153;201906;26,8464;0,9968;3;2;2;88000;1100;3;1;3;3;1;I;I;I;I;I;I;I;I
19060154;201906;26,8464;0,9968;3;2;2;138000;1500;1;2;1;3;1;R;R;R;R;R;R;R;R
19060155;201906;26,8464;0,9968;3;2;2;62000;1100;3;2;3;3;1;R;R;R;R;R;R;R;R
19060156;201906;26,8464;0,9968;3;2;2;128000;2500;3;3;3;2;1;R;R;R;R;R;R;R;R
19060157;201906;26,8464;0,9968;3;2;2;103000;1600;3;2;3;3;1;R;I;I;I;I;I;I;I
19060158;201906;26,8464;0,9968;3;2;2;91000;1800;3;2;1;3;1;R;R;R;R;R;R;R;R
19060159;201906;26,8464;0,9968;3;2;2;97000;1400;3;2;3;2;1;I;I;I;I;I;I;I;I
19060160;201906;26,8464;0,9968;3;2;2;135000;1800;3;2;3;3;1;R;R;R;R;R;R;R;R
19060161;201906;26,8464;0,9968;3;2;2;82000;1700;3;2;1;3;1;R;R;R;R;R;R;R;R
19060162;201906;26,8464;0,9968;3;2;2;73000;2000;3;2;3;3;1;R;R;R;R;R;R;R;R
19060163;201906;26,8464;0,9968;3;2;2;96000;1300;3;2;3;2;1;R;I;R;R;I;R;R;R
19060164;201906;26,8464;0,9968;3;2;2;118000;2000;3;1;3;3;1;I;I;I;I;I;I;I;I
19060165;201906;9,9579;0,9968;4;2;2;112000;1800;3;2;1;3;1;I;I;I;I;I;I;I;I
19060166;201906;7,2091;0,9968;2;2;2;71000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19060167;201906;7,2091;0,9968;2;2;2;107000;1700;3;2;3;3;1;R;I;R;R;R;R;R;R
19060168;201906;7,2091;0,9968;2;2;2;81000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19060169;201906;7,2091;0,9968;2;2;2;83000;1600;3;2;1;3;1;R;R;R;R;R;R;R;R
19060170;201906;7,2091;0,9968;2;2;2;80000;1500;3;2;1;3;1;R;R;R;R;R;R;R;R
19060171;201906;7,2091;0,9968;2;2;2;82000;1300;3;3;1;2;1;R;R;R;R;R;R;R;R
19060172;201906;7,2091;0,9968;2;2;2;121000;1500;3;2;1;3;1;R;R;R;R;R;R;R;R
19060173;201906;7,2091;0,9968;2;2;2;100000;1500;3;1;3;3;1;R;R;R;R;R;R;R;R
19060174;201906;7,2091;0,9968;2;2;2;67000;1800;3;2;3;3;1;R;R;R;R;I;R;R;R
19060175;201906;7,2091;0,9968;2;2;2;103000;2400;3;2;3;3;1;R;R;R;R;R;R;R;R
19060176;201906;7,2091;0,9968;2;2;2;103000;1600;3;2;1;3;1;R;I;I;I;I;I;I;I
19060177;201906;26,8464;0,9968;3;2;2;84000;1700;3;2;3;3;1;R;R;R;R;R;R;R;R
19060178;201906;26,8464;0,9968;3;2;2;107000;1700;3;3;3;3;1;I;I;I;I;I;I;I;I
19060179;201906;26,8464;0,9968;3;2;2;136000;2500;3;2;3;2;1;R;I;R;R;I;R;I;I
19060180;201906;26,8464;0,9968;3;2;2;121000;2100;3;2;3;3;1;I;I;I;I;I;I;I;I
19060181;201906;7,2091;0,9968;2;2;2;162000;1800;3;2;1;3;1;R;R;R;R;R;R;R;R
19060182;201906;7,2091;0,9968;2;2;2;70000;1700;3;2;1;3;1;R;R;R;R;R;R;R;R
19060183;201906;7,2091;0,9968;2;2;2;63000;1500;3;2;1;3;1;R;R;R;R;R;R;R;R
19060184;201906;7,2091;0,9968;2;2;2;67000;1700;3;2;1;3;1;R;R;R;R;R;R;R;R
19060185;201906;7,2091;0,9968;2;2;2;76000;1500;3;3;1;3;1;R;R;R;R;R;R;R;R
19060186;201906;7,2091;0,9968;2;2;2;63000;1200;3;2;1;3;1;R;R;R;R;I;R;I;I
19060187;201906;7,2091;0,9968;2;2;2;86000;1700;3;2;1;2;1;R;R;R;R;I;R;R;R
19060188;201906;7,2091;0,9968;2;2;2;99000;1500;3;2;1;3;1;I;I;I;I;I;I;I;I
19060189;201906;7,2091;0,9968;2;2;2;94000;1300;3;2;1;3;1;I;I;I;I;I;I;I;I
19060190;201906;26,8464;0,9968;3;2;2;121000;2100;3;2;3;2;1;R;I;R;R;R;R;R;R
19060191;201906;26,8464;0,9968;3;2;2;87000;2100;3;2;3;3;1;R;R;R;R;R;R;R;R
19060192;201906;7,2091;0,9968;2;2;2;124000;2200;3;2;3;3;1;R;I;R;R;R;R;R;R
19060193;201906;9,9579;0,9968;4;2;2;104000;1600;3;1;1;3;1;I;I;I;I;I;I;I;I
19060194;201906;9,9579;0,9968;4;2;2;142000;2500;3;2;3;3;1;R;R;R;R;R;R;R;R
19060195;201906;9,9579;0,9968;4;2;2;60000;1400;3;2;3;3;1;R;R;R;R;R;R;R;R
19060196;201906;5,8167;0,9968;1;2;2;84000;1700;3;1;3;2;1;R;R;R;R;R;R;R;R
19060197;201906;5,8167;0,9968;1;2;2;103000;1800;3;2;3;2;1;R;R;R;R;R;R;R;R
19060198;201906;5,8167;0,9968;1;2;2;69000;980;1;2;3;2;1;R;R;R;R;R;R;R;R
19060199;201906;5,8167;0,9968;1;2;2;81000;1800;3;3;3;3;1;R;R;R;R;R;R;R;R
19060200;201906;5,8167;0,9968;1;2;2;70000;1200;3;2;3;3;1;R;R;R;R;R;R;R;R
19060201;201906;26,8464;0,9968;3;2;2;99000;1600;3;2;3;2;1;R;R;R;R;R;R;R;R
19060202;201906;7,2091;0,9968;2;2;2;118000;2000;3;2;1;3;1;I;I;I;I;I;I;I;I
19060203;201906;7,2091;0,9968;2;2;2;107000;1700;3;2;1;3;1;I;I;I;I;I;I;I;I
19060204;201906;7,2091;0,9968;2;2;2;130000;1700;3;1;3;3;1;R;R;R;R;R;R;R;R
19060205;201906;7,2091;0,9968;2;2;2;120000;1500;3;1;1;3;1;R;R;R;R;R;R;R;R
19060206;201906;26,8464;0,9968;3;2;2;86000;1900;3;2;3;3;1;R;R;R;R;R;R;R;R
19060207;201906;6,6386;0,9968;5;3;2;90000;1200;3;2;3;3;1;I;I;I;I;I;I;I;I
19060208;201906;9,9579;0,9968;4;2;2;89000;1200;1;2;3;3;1;I;I;I;I;I;I;I;I
19060209;201906;9,9579;0,9968;4;2;2;82000;1300;3;1;3;3;1;R;R;R;R;R;R;R;R
19060210;201906;5,8167;0,9968;1;2;2;99000;1200;3;2;3;3;1;R;R;R;R;R;R;R;R
19060211;201906;5,8167;0,9968;1;2;2;111000;1800;3;2;1;3;1;I;I;I;I;I;I;I;I
19060212;201906;5,8167;0,9968;1;2;2;256000;1700;1;2;1;3;1;R;R;R;R;R;R;R;R
19060213;201906;5,8167;0,9968;1;2;2;70000;1300;3;2;3;2;1;R;R;R;R;R;R;R;R
19060214;201906;5,8167;0,9968;1;2;2;79000;1200;3;3;1;3;1;R;R;R;R;R;R;R;R
19060215;201906;5,8167;0,9968;1;2;2;103000;1600;3;2;1;3;1;I;I;I;I;I;I;I;I
19060216;201906;5,8167;0,9968;1;2;2;102000;1600;3;2;1;3;1;R;R;R;R;R;R;R;R
19060217;201906;5,8167;0,9968;1;2;2;256000;1700;1;2;1;3;1;R;R;R;R;R;R;R;R
19060218;201906;5,8167;0,9968;1;2;2;177000;1200;1;2;1;3;1;R;R;R;R;R;R;R;R
19060219;201906;5,8167;0,9968;1;2;2;94000;2000;3;1;3;3;1;R;R;R;R;R;R;R;R
19060220;201906;5,8167;0,9968;1;2;2;79000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19060221;201906;5,8167;0,9968;1;2;2;90000;1200;1;2;1;3;1;R;R;R;R;R;R;R;R
19060222;201906;5,8167;0,9968;1;2;2;116000;1500;3;2;1;3;1;R;R;R;R;R;R;R;R
19060223;201906;26,8464;0,9968;3;2;2;52000;2000;3;2;1;3;1;R;R;R;R;R;R;R;R
19060224;201906;26,8464;0,9968;3;2;2;122000;2100;3;2;3;2;1;R;I;R;R;R;R;R;R
19060225;201906;26,8464;0,9968;3;2;2;164000;2500;3;2;3;2;1;R;R;R;R;R;R;R;R
19060226;201906;26,8464;0,9968;3;2;2;127000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19060227;201906;26,8464;0,9968;3;2;2;70000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19060228;201906;26,8464;0,9968;3;2;2;132000;2500;3;1;3;3;1;R;R;R;R;R;R;R;R
19060229;201906;26,8464;0,9968;3;2;2;139000;2200;3;2;3;2;1;R;R;R;R;I;R;I;R
19060230;201906;26,8464;0,9968;3;2;2;82000;1900;3;1;3;3;1;R;R;R;R;R;R;R;R
19060231;201906;26,8464;0,9968;3;2;2;96000;1300;3;2;3;2;1;I;I;I;I;I;I;I;I
19060232;201906;26,8464;0,9968;3;2;2;84000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19060233;201906;26,8464;0,9968;3;2;2;121000;2500;3;2;3;3;1;R;R;R;R;R;R;R;R
19060234;201906;26,8464;0,9968;3;2;2;115000;1900;3;2;3;3;1;I;I;I;I;I;I;I;I
19060235;201906;26,8464;0,9968;3;2;2;132000;2500;3;2;3;3;1;I;I;I;I;I;I;I;I
19060236;201906;26,8464;0,9968;3;2;2;136000;2500;3;2;3;3;1;I;I;I;I;I;I;I;I
19060237;201906;26,8464;0,9968;3;2;2;119000;2000;3;2;3;3;1;I;I;I;I;I;I;I;I
19060238;201906;26,8464;0,9968;3;2;2;103000;1600;3;1;3;3;1;R;I;R;R;R;R;R;R
19060239;201906;26,8464;0,9968;3;2;2;90000;1600;3;1;3;3;1;R;R;R;R;R;R;R;R
19060240;201906;7,2091;0,9968;2;2;2;72000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19060241;201906;7,2091;0,9968;2;2;2;83000;2000;3;2;3;3;1;R;R;R;R;R;R;R;R
19060242;201906;7,2091;0,9968;2;2;2;103000;1600;3;2;3;3;1;I;I;I;I;I;I;I;I
19060243;201906;9,9579;0,9968;4;2;2;115000;1900;3;2;3;1;9;R;I;I;I;I;I;I;R
19060244;201906;9,9579;0,9968;4;2;2;104000;1600;3;1;3;1;9;I;I;I;I;I;I;I;I
19060245;201906;9,9579;0,9968;4;2;2;97000;1200;1;2;3;1;9;R;R;R;R;R;R;R;R
19060246;201906;9,9579;0,9968;4;2;2;89000;1800;3;2;1;1;9;R;R;R;R;R;R;R;R
19060247;201906;26,8464;0,9968;3;2;2;80000;1700;3;1;3;1;9;R;R;R;R;I;R;R;R
19060248;201906;9,9579;0,9968;4;2;2;144000;1600;3;1;3;1;9;R;R;R;R;R;R;R;R
19060249;201906;6,6386;0,9968;5;3;2;233000;1700;3;1;3;1;9;R;R;R;R;R;R;R;R
19060250;201906;9,9579;0,9968;4;2;2;226000;1700;1;3;1;1;9;R;R;R;R;R;R;R;R
19060251;201906;9,9579;0,9968;4;2;2;113000;1600;3;2;3;1;9;R;R;R;R;R;R;R;R
19060252;201906;9,9579;0,9968;4;2;2;96000;1000;1;1;3;1;9;R;R;R;R;R;R;R;R
19060253;201906;9,9579;0,9968;4;2;2;143000;2000;3;1;3;1;9;R;R;R;R;R;R;R;R
19060254;201906;9,9579;0,9968;4;2;2;111000;1200;3;2;1;1;9;R;R;R;R;R;R;R;R
19060255;201906;9,9579;0,9968;4;2;2;101000;1500;3;2;3;1;9;I;I;I;I;I;I;I;I
19060256;201906;5,8167;0,9968;1;2;2;96000;1300;1;2;1;1;9;R;I;R;R;R;R;R;R
19060257;201906;5,8167;0,9968;1;2;2;81000;1300;3;2;3;1;9;R;R;R;R;R;R;R;R
19060258;201906;5,8167;0,9968;1;2;2;55000;980;1;2;3;1;9;R;R;R;R;R;R;R;R
19060259;201906;26,8464;0,9968;3;2;2;82000;1700;3;2;3;1;9;R;R;R;R;R;R;R;R
19060260;201906;26,8464;0,9968;3;2;2;164000;2500;3;2;3;1;9;R;R;R;R;R;R;R;R
19060261;201906;26,8464;0,9968;3;2;2;78000;1500;3;2;3;1;9;R;R;R;R;R;R;R;R
19060262;201906;9,9579;0,9968;4;2;2;131000;1800;3;1;3;1;9;R;R;R;R;R;R;R;R
19060263;201906;7,2091;0,9968;2;2;2;96000;1300;3;2;3;1;9;R;I;I;I;I;I;I;R
19060264;201906;7,2091;0,9968;2;2;2;125000;2400;3;2;3;1;9;R;R;R;R;R;R;R;R
19060265;201906;7,2091;0,9968;2;2;2;162000;2400;3;1;3;1;9;R;R;R;R;R;R;R;R
19060266;201906;17,8976;0,9968;5;3;2;96000;1300;3;2;1;1;9;I;I;I;I;I;I;I;I
19060267;201906;26,8464;0,9968;3;2;2;164000;2500;3;1;3;1;9;R;R;R;R;R;R;R;R
19060268;201906;26,8464;0,9968;3;2;2;164000;2100;3;2;3;1;9;R;R;R;R;R;R;R;R
19060269;201906;7,2091;0,9968;2;2;2;71000;1700;3;1;3;1;9;R;R;R;R;R;R;R;R
19060270;201906;7,2091;0,9968;2;2;2;104000;1700;3;2;3;1;9;R;R;R;R;R;R;R;R
19060271;201906;9,9579;0,9968;4;2;2;100000;1500;1;1;1;1;9;R;I;I;I;I;I;I;R
19060272;201906;9,9579;0,9968;4;2;2;84000;1200;3;1;1;1;9;R;R;R;R;I;R;I;R
19060273;201906;9,9579;0,9968;4;2;2;92000;1200;1;2;3;1;9;I;I;I;I;I;I;I;I
19060274;201906;9,9579;0,9968;4;2;2;92000;1200;1;1;3;1;9;I;I;I;I;I;I;I;I
19060275;201906;5,8167;0,9968;1;2;2;109000;1700;3;2;3;1;9;I;I;I;I;I;I;I;I
19060276;201906;5,8167;0,9968;1;2;2;112000;1500;3;2;1;1;9;R;R;R;R;R;R;R;R
19060277;201906;5,8167;0,9968;1;2;2;122000;1800;3;1;3;1;9;R;R;R;R;R;R;R;R
19060278;201906;26,8464;0,9968;3;2;2;91000;1600;3;1;3;1;9;R;R;R;R;R;R;R;R
19060279;201906;26,8464;0,9968;3;2;2;99000;1600;3;2;3;1;9;R;R;R;R;R;R;R;R
19060280;201906;26,8464;0,9968;3;2;2;114000;1600;3;1;3;1;9;R;R;R;R;R;R;R;R
19060281;201906;26,8464;0,9968;3;2;2;85000;1700;3;2;3;1;9;R;R;R;R;R;R;R;R
19060282;201906;26,8464;0,9968;3;2;2;99000;1500;3;2;3;1;9;I;I;I;I;I;I;I;I
19060283;201906;26,8464;0,9968;3;2;2;102000;1400;3;1;1;1;9;R;R;R;R;R;R;R;R
19060284;201906;7,2091;0,9968;2;2;2;85000;1500;3;2;1;1;9;R;R;R;R;R;R;R;R
19060285;201906;7,2091;0,9968;2;2;2;101000;1500;3;2;1;1;9;I;I;I;I;I;I;I;I
19060286;201906;9,9579;0,9968;4;2;2;92000;1200;3;1;3;1;9;I;I;I;I;I;I;I;I
19060287;201906;9,9579;0,9968;4;2;2;92000;1200;3;2;3;1;9;R;I;R;R;I;I;I;R
19060288;201906;9,9579;0,9968;4;2;2;101000;1500;3;2;3;1;9;I;I;I;I;I;I;I;I
19060289;201906;9,9579;0,9968;4;2;2;72000;1300;3;2;1;1;9;R;R;R;R;R;R;R;R
19060290;201906;9,9579;0,9968;4;2;2;101000;1500;3;1;3;1;9;I;I;I;I;I;I;I;I
19060291;201906;9,9579;0,9968;4;2;2;107000;1700;3;1;3;1;9;I;I;I;I;I;I;I;I
19060292;201906;9,9579;0,9968;4;2;2;103000;1600;3;2;3;1;9;I;I;I;I;I;I;I;I
19060293;201906;5,8167;0,9968;1;2;2;108000;980;3;2;1;1;9;R;R;R;R;R;R;R;R
19060294;201906;5,8167;0,9968;1;2;2;143000;1300;1;2;1;1;9;R;R;R;R;R;R;R;R
19060295;201906;5,8167;0,9968;1;2;2;107000;1700;1;2;1;1;9;I;I;I;I;I;I;I;I
19060296;201906;26,8464;0,9968;3;2;2;92000;1300;3;1;3;1;9;R;R;R;R;R;R;R;R
19060297;201906;26,8464;0,9968;3;2;2;72000;1900;3;1;3;1;9;R;R;R;R;R;R;R;R
19060298;201906;26,8464;0,9968;3;2;2;59000;1300;3;2;1;1;9;R;R;R;R;R;R;R;R
19060299;201906;26,8464;0,9968;3;2;2;120000;2100;3;1;3;1;9;R;R;R;R;R;R;R;R
19060300;201906;26,8464;0,9968;3;2;2;106000;1900;3;2;3;1;9;R;R;R;R;R;R;R;R
19060301;201906;26,8464;0,9968;3;2;2;115000;1900;3;2;3;1;9;I;I;I;I;I;I;I;I
19060302;201906;26,8464;0,9968;3;2;2;86000;1300;3;3;1;1;9;R;R;R;R;R;R;R;R
19060303;201906;26,8464;0,9968;3;2;2;79000;1700;3;2;3;1;9;R;R;R;R;R;R;R;R
19060304;201906;26,8464;0,9968;3;2;2;87000;2000;3;1;3;1;9;R;R;R;R;R;R;R;R
19060305;201906;26,8464;0,9968;3;2;2;164000;2100;3;1;1;1;9;R;R;R;R;R;R;R;R
